"Date","Price","Open","High","Low","Vol.","Change %"
"09/09/2024","73,924.07","73,874.19","74,409.41","73,760.75","109.93M","0.07%"
"06/09/2024","73,874.19","74,721.80","74,721.80","73,860.16","114.50M","-1.13%"
"05/09/2024","74,721.80","74,533.58","74,820.20","73,948.81","137.60M","0.25%"
"04/09/2024","74,533.58","74,806.97","74,806.97","74,278.24","146.63M","-0.37%"
"03/09/2024","74,806.97","76,041.39","76,190.13","74,716.08","125.75M","-1.62%"
"02/09/2024","76,041.39","76,290.35","76,360.27","75,769.39","82.59M","-0.33%"
"30/08/2024","76,290.35","76,784.41","77,011.61","75,966.66","156.38M","-0.64%"
"29/08/2024","76,784.41","76,526.15","76,963.09","76,389.74","93.04M","0.34%"
"28/08/2024","76,526.15","77,095.92","77,183.90","76,443.39","105.73M","-0.74%"
"27/08/2024","77,095.92","76,716.86","77,247.94","76,660.05","94.03M","0.49%"
"26/08/2024","76,716.86","76,971.36","77,123.05","76,552.07","78.55M","-0.33%"
"23/08/2024","76,971.36","76,411.79","77,294.12","76,408.69","108.50M","0.73%"
"22/08/2024","76,411.79","76,894.08","77,593.89","76,377.21","87.49M","-0.63%"
"21/08/2024","76,894.08","76,637.97","77,068.91","76,542.86","87.32M","0.33%"
"20/08/2024","76,637.97","76,665.23","77,062.92","76,503.95","91.63M","-0.04%"
"19/08/2024","76,665.23","75,706.13","76,819.26","75,684.33","110.89M","1.27%"
"16/08/2024","75,706.13","75,170.13","76,054.93","75,170.13","138.79M","0.71%"
"15/08/2024","75,170.13","74,395.23","75,836.65","74,294.43","125.66M","1.04%"
"14/08/2024","74,395.23","74,033.09","74,860.89","73,756.79","95.31M","0.49%"
"13/08/2024","74,033.09","73,645.00","74,033.09","73,330.29","96.25M","0.53%"
"12/08/2024","73,645.00","73,728.30","74,105.08","73,474.50","84.81M","-0.11%"
"08/08/2024","73,728.30","73,357.30","73,825.30","72,537.29","140.08M","0.51%"
"07/08/2024","73,357.30","72,502.26","73,395.02","72,496.29","124.83M","1.18%"
"06/08/2024","72,502.26","72,595.10","72,773.69","71,690.70","124.52M","-0.13%"
"05/08/2024","72,595.10","73,449.42","73,449.42","71,326.33","174.19M","-1.16%"
"02/08/2024","73,449.42","74,712.02","74,726.93","73,405.73","132.36M","-1.69%"
"01/08/2024","74,712.02","75,661.56","75,826.24","74,646.46","83.62M","-1.25%"
"31/07/2024","75,661.56","74,092.71","75,675.84","74,043.57","152.51M","2.12%"
"30/07/2024","74,092.71","73,872.66","74,274.25","73,556.81","98.31M","0.30%"
"29/07/2024","73,872.66","74,042.43","74,451.95","73,805.36","87.40M","-0.23%"
"26/07/2024","74,042.43","73,687.25","74,187.73","73,588.30","84.69M","0.48%"
"25/07/2024","73,687.25","73,596.11","73,694.77","72,530.09","102.98M","0.12%"
